,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,maintenance_fee,travel_labor,insurance,warranty_fee,buscon_fee,total_interest,total_gain
77,200000,7,3960.308464176667,332665.91099084,36100.0,10000.0,2100,10000.0,0.0,14000.0,96565.91099084,132665.91099084
78,202500,7,3888.964105693161,326672.98487822554,26400.0,10125.0,2100,4050.0,0.0,10125.0,97772.98487822554,124172.98487822554
79,205000,7,3936.667366257274,330680.05876561103,26700.0,10250.0,2100,4100.0,0.0,10250.0,98980.05876561103,125680.05876561103
80,207500,7,3984.3706268213878,334687.1326529966,27000.0,10375.0,2100,4150.0,0.0,10375.0,100187.13265299657,127187.13265299657
81,210000,7,4032.0738873855003,338694.206540382,27300.0,10500.0,2100,4200.0,0.0,10500.0,101394.206540382,128694.206540382
82,212500,7,4079.7771479496137,342701.28042776755,27600.0,10625.0,2100,4250.0,0.0,10625.0,102601.28042776755,130201.28042776755
83,215000,7,4127.480408513727,346708.35431515303,27900.0,10750.0,2100,4300.0,0.0,10750.0,103808.35431515303,131708.35431515303
84,217500,7,4175.18366907784,350715.4282025386,28200.0,10875.0,2100,4350.0,0.0,10875.0,105015.42820253858,133215.42820253858
85,220000,7,4222.8869296419525,354722.502089924,28500.0,11000.0,2100,4400.0,0.0,11000.0,106222.502089924,134722.502089924
86,222500,7,4270.590190206066,358729.57597730955,28800.0,11125.0,2100,4450.0,0.0,11125.0,107429.57597730955,136229.57597730955
87,225000,7,4318.293450770178,362736.649864695,29100.0,11250.0,2100,4500.0,0.0,11250.0,108636.64986469498,137736.64986469498
88,227500,7,4365.996711334292,366743.7237520805,29400.0,11375.0,2100,4550.0,0.0,11375.0,109843.72375208052,139243.72375208052
89,230000,7,4413.699971898405,370750.79763946607,29700.0,11500.0,2100,4600.0,0.0,11500.0,111050.79763946607,140750.79763946607
90,232500,7,4461.403232462518,374757.8715268515,30000.0,11625.0,2100,4650.0,0.0,11625.0,112257.8715268515,142257.8715268515
91,235000,7,4509.106493026631,378764.94541423704,30300.0,11750.0,2100,4700.0,0.0,11750.0,113464.94541423704,143764.94541423704
92,237500,7,4556.809753590745,382772.0193016225,30600.0,11875.0,2100,4750.0,0.0,11875.0,114672.01930162252,145272.01930162252
93,240000,7,4604.513014154858,386779.09318900807,30900.0,12000.0,2100,4800.0,0.0,12000.0,115879.09318900807,146779.09318900807
94,242500,7,4652.21627471897,390786.1670763935,31200.0,12125.0,2100,4850.0,0.0,12125.0,117086.1670763935,148286.1670763935
95,245000,7,4699.919535283084,394793.24096377904,31500.0,12250.0,2100,4900.0,0.0,12250.0,118293.24096377904,149793.24096377904
96,247500,7,4747.622795847196,398800.31485116447,31800.0,12375.0,2100,4950.0,0.0,12375.0,119500.31485116447,151300.31485116447
97,250000,7,4795.32605641131,402807.38873855,32100.0,12500.0,2100,5000.0,0.0,12500.0,120707.38873855001,152807.38873855
98,252500,7,4843.029316975422,406814.46262593544,32400.0,12625.0,2100,5050.0,0.0,12625.0,121914.46262593544,154314.46262593544
99,255000,7,4890.732577539537,410821.5365133211,32700.0,12750.0,2100,5100.0,0.0,12750.0,123121.5365133211,155821.5365133211
100,257500,7,4938.43583810365,414828.6104007066,33000.0,12875.0,2100,5150.0,0.0,12875.0,124328.61040070659,157328.6104007066
101,260000,7,4986.1390986677625,418835.6842880921,33300.0,13000.0,2100,5200.0,0.0,13000.0,125535.68428809207,158835.68428809207
102,262500,7,5033.842359231876,422842.75817547756,33600.0,13125.0,2100,5250.0,0.0,13125.0,126742.75817547756,160342.75817547756
103,265000,7,5081.545619795988,426849.83206286305,33900.0,13250.0,2100,5300.0,0.0,13250.0,127949.83206286305,161849.83206286305
104,267500,7,5129.248880360102,430856.90595024853,34200.0,13375.0,2100,5350.0,0.0,13375.0,129156.90595024853,163356.90595024853
105,270000,7,5176.952140924214,434863.979837634,34500.0,13500.0,2100,5400.0,0.0,13500.0,130363.97983763402,164863.97983763402
106,272500,7,5224.655401488329,438871.0537250196,34800.0,13625.0,2100,5450.0,0.0,13625.0,131571.05372501962,166371.05372501962
107,275000,7,5272.358662052441,442878.12761240505,35100.0,13750.0,2100,5500.0,0.0,13750.0,132778.12761240505,167878.12761240505
108,277500,7,5320.0619226165545,446885.2014997906,35400.0,13875.0,2100,5550.0,0.0,13875.0,133985.2014997906,169385.2014997906
109,280000,7,5367.765183180667,450892.275387176,35700.0,14000.0,2100,5600.0,0.0,14000.0,135192.27538717602,170892.27538717602
110,282500,7,5415.46844374478,454899.34927456157,36000.0,14125.0,2100,5650.0,0.0,14125.0,136399.34927456157,172399.34927456157
111,285000,7,5463.171704308893,458906.423161947,36300.0,14250.0,2100,5700.0,0.0,14250.0,137606.423161947,173906.423161947
112,287500,7,5510.874964873006,462913.49704933254,36600.0,14375.0,2100,5750.0,0.0,14375.0,138813.49704933254,175413.49704933254
113,290000,7,5558.57822543712,466920.5709367181,36900.0,14500.0,2100,5800.0,0.0,14500.0,140020.57093671808,176920.57093671808
114,292500,7,5606.281486001233,470927.64482410357,37200.0,14625.0,2100,5850.0,0.0,14625.0,141227.64482410357,178427.64482410357
115,295000,7,5653.984746565346,474934.71871148905,37500.0,14750.0,2100,5900.0,0.0,14750.0,142434.71871148905,179934.71871148905
116,297500,7,5701.688007129459,478941.79259887454,37800.0,14875.0,2100,5950.0,0.0,14875.0,143641.79259887454,181441.79259887454
117,300000,7,5749.3912676935715,482948.86648626,38100.0,15000.0,2100,6000.0,0.0,15000.0,144848.86648626003,182948.86648626003
118,302500,7,5797.094528257685,486955.9403736455,38400.0,15125.0,2100,6050.0,0.0,15125.0,146055.9403736455,184455.9403736455
119,305000,7,5844.797788821797,490963.014261031,38700.0,15250.0,2100,6100.0,0.0,15250.0,147263.014261031,185963.014261031
